Year,Month,RegionID,TargetSales
2023,1,4001,102742.06245368531
2023,1,4002,116193.38482830932
2023,1,4003,83200.86303335908
2023,1,4004,146175.0694119573
2023,1,4005,90064.96211113346
2023,2,4001,143210.91274176646
2023,2,4002,85850.7555400249
2023,2,4003,137583.7449374992
2023,2,4004,90637.37681147506
2023,2,4005,82669.21298640309
2023,3,4001,130364.2615181586
2023,3,4002,99618.57101220998
2023,3,4003,130014.73069490446
2023,3,4004,118855.96753309738
2023,3,4005,87616.5173161046
2023,4,4001,145249.10513108145
2023,4,4002,111661.99223344342
2023,4,4003,131411.30944590818
2023,4,4004,115071.44004109377
2023,4,4005,122305.30324728433
2023,5,4001,101194.15146496847
2023,5,4002,94025.22128024152
2023,5,4003,117979.91423856476
2023,5,4004,110815.32810797014
2023,5,4005,107307.92494037532
2023,6,4001,127079.7036566236
2023,6,4002,128335.46424077952
2023,6,4003,83214.40392638842
2023,6,4004,103712.11459705705
2023,6,4005,108823.51851584642
2023,7,4001,86782.45128149177
2023,7,4002,96513.06066888018
2023,7,4003,83614.92580559297
2023,7,4004,149736.94690319145
2023,7,4005,131559.0042078891
2023,8,4001,86121.51095519276
2023,8,4002,81417.45658530644
2023,8,4003,130350.1460106596
2023,8,4004,110743.45159778668
2023,8,4005,135075.76963452031
2023,9,4001,144643.32264728687
2023,9,4002,121951.02723114607
2023,9,4003,93097.58960420771
2023,9,4004,134753.58252325168
2023,9,4005,146906.8220222062
2023,10,4001,120616.1900941969
2023,10,4002,127739.82130965135
2023,10,4003,103623.22865256711
2023,10,4004,106706.93862622179
2023,10,4005,131425.81484971446
2023,11,4001,144943.97688847734
2023,11,4002,124029.18710570465
2023,11,4003,135289.35359397432
2023,11,4004,92014.45121907612
2023,11,4005,94837.13631805815
2023,12,4001,117242.42807833731
2023,12,4002,92358.79345699884
2023,12,4003,124449.65491546465
2023,12,4004,100415.72297762893
2023,12,4005,135407.28330668242
2024,1,4001,136567.72426300403
2024,1,4002,112465.12190287471
2024,1,4003,92656.74445263448
2024,1,4004,125274.24727573528
2024,1,4005,149495.09127845103
2024,2,4001,123581.36285597662
2024,2,4002,82504.22834998055
2024,2,4003,81210.57830369579
2024,2,4004,102425.33793446144
2024,2,4005,93704.86648022835
2024,3,4001,136913.58450003157
2024,3,4002,139136.39669252004
2024,3,4003,98103.31399173333
2024,3,4004,102795.13438649249
2024,3,4005,96537.28774005803
2024,4,4001,143586.7783159885
2024,4,4002,115185.45342355975
2024,4,4003,125929.59308574139
2024,4,4004,109083.74606897224
2024,4,4005,124170.99354531718
2024,5,4001,107009.87637052152
2024,5,4002,103777.49064104578
2024,5,4003,124413.6051221436
2024,5,4004,121374.34546342926
2024,5,4005,100546.95679175647
2024,6,4001,90454.39152236313
2024,6,4002,105800.36856866963
2024,6,4003,109063.83473993365
2024,6,4004,124007.90333972234
2024,6,4005,144017.01345458045
2024,7,4001,82532.93582730475
2024,7,4002,97056.27087792914
2024,7,4003,93560.11595956923
2024,7,4004,115160.60860856486
2024,7,4005,110079.05649302118
2024,8,4001,131032.63366741319
2024,8,4002,96969.11387814047
2024,8,4003,121614.88560248309
2024,8,4004,141870.00845199716
2024,8,4005,143747.44179428133
2024,9,4001,147114.9223307522
2024,9,4002,134128.2806455992
2024,9,4003,143419.15343812405
2024,9,4004,96417.16103896919
2024,9,4005,93830.66610453339
2024,10,4001,80454.16586463685
2024,10,4002,129479.10502003689
2024,10,4003,145622.7031469621
2024,10,4004,93085.47415291735
2024,10,4005,124586.05027988151
2024,11,4001,132252.1831455244
2024,11,4002,144932.99646036397
2024,11,4003,125280.21568120552
2024,11,4004,147920.56129241266
2024,11,4005,104127.11987087835
2024,12,4001,104494.99736399854
2024,12,4002,118010.87570100419
2024,12,4003,106845.1316781135
2024,12,4004,80099.80098012729
2024,12,4005,131224.0417560891
